Model,MAE (W),RMSE (W),sMAPE (%),R²,MAE (W) Rank,RMSE (W) Rank,sMAPE (%) Rank,R² Rank,Weighted Rank,Overall Performance
Superior Hybrid,24.562192902759357,30.5465655571757,3.0297574939091585,0.9661112047651936,2.0,2.0,2.0,2.0,2.0,Excellent
XGBoost,24.120885536860442,29.889231528047556,2.964778669584871,0.9675540233344598,1.0,1.0,1.0,1.0,1.0,Good
