Metric,Value
Average Minimum Commitment (%),30.067854568680644
Average Final Bid (%),71.08698818087142
Average Additional Recovery (%),65.54743650259012
Average Forecast Generation (W),280.8955773244276
Average Minimum Energy (W),129.34499730837092
Average Optimal Bid (W),240.42169975813704
Performance Ratio,0.85
Confidence Factor,1.96
Penalty Cost ($/MWh),100.0
