Model,MAE (W),RMSE (W),R²,MAPE (%),sMAPE (%),Error Std (%),95th Percentile Error (%),Accuracy ≤5% (%),Accuracy ≤10% (%),Accuracy ≤20% (%)
Random Forest,90.2046022344978,133.66376820699992,0.9743143921702891,1318358751.9695349,77.78308561060567,2284664860.9113317,5845415955.908482,16.762013729977117,30.549199084668192,42.79176201372998
Gradient Boosting,84.54917267624141,132.20241382339495,0.9748729666531232,935868485.3304528,80.318232397662,1589075329.1103926,3969582044.686549,17.219679633867276,30.663615560640732,42.505720823798626
Prophet-like,394.4521546751096,472.37177089538176,0.6792029848390396,8898877887.09379,104.49674094010788,15140225726.404535,38533941540.925224,2.2883295194508007,4.862700228832952,9.954233409610984
SARIMAX-like,199.12376216074236,319.3987747536465,0.8533341720871177,1215587080.7427094,87.5111309464942,3096786560.3139195,5057609576.999846,5.091533180778033,10.869565217391305,21.16704805491991
XGBoost-like,82.56522236029944,119.62045600717312,0.9794281497708429,1036151378.5285983,79.53375841102034,1819093929.398929,4490306173.478803,17.562929061784896,31.521739130434785,43.36384439359268
hybrid_prediction,86.42346954586289,122.38244469683318,0.9784671906484594,2177216024.8123693,75.06047828146043,3746757166.826784,9182385298.471514,21.79633867276888,34.954233409610985,46.96796338672769
