Model,MAE,RMSE,R²,Early MAE,Late MAE,Improvement (%),Final Error,Error Std
Iterative Random Forest,74.92622457318414,109.29539791506473,0.9792405835852359,73.37438262175684,76.47603797304096,-4.2271638144787955,80.47592784168042,79.57100525078914
Iterative Gradient Boosting,80.23417560159922,124.17596689247671,0.9732029806402823,81.36574923662539,79.10408114779531,2.7796316140993964,65.42465869362175,94.77419384628504
Online Learning SGD,278.30992687423986,453.65798501960563,0.6423415349585353,351.8247094202492,204.89124208319254,41.7632597719414,3.795442897730595,358.25849881796796
Adaptive Ensemble,84.98835341552783,151.34146885768743,0.96019594855452,93.98907099021321,75.9994014847309,19.140171634801582,64.36218706751623,125.22467799806759
