Model,MAE (W),RMSE (W),R²,MAPE_All (%),MAPE_Significant (%),sMAPE (%),Error Std (%),95th Percentile Error (%),Accuracy ≤5% (%),Accuracy ≤10% (%),Accuracy ≤20% (%),Significant Points
Random Forest,115.65156629576798,211.9263952512902,0.9315036000024869,81185868.52393067,26.562211922587373,26.49944153826394,28.051654186234444,82.02868078967224,19.230769230769234,33.33333333333333,53.84615384615385,78
Gradient Boosting,110.13475636378894,203.76420616003034,0.9366781728058905,104621966.9965466,24.975795513836268,25.25155743427101,25.573347734401654,75.96906243967571,17.94871794871795,26.923076923076923,57.692307692307686,78
Physics-based,301.4293239027867,545.7206787222563,0.5458090612411883,95425206.36997823,62.86821931592602,52.75082817460639,57.327566384356096,163.06463458419094,2.564102564102564,5.128205128205128,20.51282051282051,78
Time Series,183.33304543907622,333.7744456476598,0.8300959187978126,91516364.52078828,35.0274307810917,43.60457384189023,26.487115869114614,83.59908707528744,7.6923076923076925,15.384615384615385,30.76923076923077,78
XGBoost-like,115.13900622953153,207.68413796354932,0.9342184199424106,67933697.34108435,26.80475386694109,27.418620497395658,28.191209698541968,78.98959912762217,14.102564102564102,28.205128205128204,56.41025641025641,78
hybrid_prediction,124.57927118109905,224.99833623288248,0.9227930746149504,83285894.37426192,30.399421803964724,30.232846550466206,30.988444502691667,81.09402517698953,14.102564102564102,26.923076923076923,48.717948717948715,78
