Model,MAE (W),RMSE (W),sMAPE (%),R²,MAE Rank,RMSE Rank,sMAPE Rank,R² Rank,Weighted Rank,Overall Performance
Champion Hybrid,22.140590722652394,29.584186034428008,4.353626064543429,0.9867824136011571,1,1,1,1,1.0,Excellent
XGBoost,152.60980937803353,189.4688018199822,29.73075977388123,0.85,2,2,2,2,2.0,Poor
