Model,MAE (W),RMSE (W),sMAPE (%),R²,MAE Rank,RMSE Rank,sMAPE Rank,R² Rank,Weighted Rank,Overall Performance
Realistic Hybrid,24.586982842153223,33.240893111986765,57.50577839535004,0.9985000973749923,1,1,1,1,1.0,Excellent
XGBoost (Baseline),31.179837377681057,41.80591065885014,75.67613449846277,0.9812462182927986,2,2,2,2,2.0,Very Good
