Model,MAE (W),RMSE (W),sMAPE (%),R²,MAE_Rank,RMSE_Rank,sMAPE_Rank,R²_Rank,Overall_Rank,Performance,Highlight
Realistic Hybrid,578.45,764.03,2.51,0.999,1,1,1,1,1,Excellent,True
XGBoost,771.27,1018.7,3.34,0.999,2,2,2,2,2,Excellent,False
Prophet+XGBoost,2932.11,3497.33,31.36,0.9876,3,3,3,3,3,Good,False
Prophet,7435.28,9525.91,32.64,0.9082,4,4,4,4,4,Fair,False
SARIMAX,27774.28,31491.35,77.82,-0.0033,5,5,5,5,5,Poor,False
