YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,SZA,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,WS10M,WD10M,PS
2020,1,2,5,8.5,8.2,28.92,8.9,0.28,88.81,15.83,15.26,15.55,12.97,96.26,0.18,4.38,43.6,83.71
2020,1,2,6,172.25,153.27,261.14,78.39,0.5,77.41,16.98,15.55,16.26,13.2,91.12,0.2,4.91,44.3,83.79
2020,1,2,7,424.7,365.7,526.56,127.72,0.59,63.75,18.97,15.56,17.26,13.2,80.45,1.38,6.69,48.9,83.85
2020,1,2,8,661.78,584.58,639.82,170.28,0.65,50.42,20.84,15.3,18.07,12.97,70.41,1.39,7.5,48.5,83.86
2020,1,2,9,850.75,777.1,680.63,219.95,0.7,37.89,22.31,15.2,18.76,12.9,63.99,2.31,7.52,49.6,83.83
2020,1,2,10,972.85,928.4,718.3,258.72,0.74,27.34,23.39,15.32,19.36,13.01,60.4,3.28,7.28,51.9,83.78
2020,1,2,11,1031.65,1005.65,789.19,230.83,0.77,21.93,24.36,15.38,19.87,13.07,57.19,3.55,7.14,54.3,83.7
2020,1,2,12,999.53,984.58,788.89,209.73,0.77,25.25,25.12,15.34,20.23,13.04,54.48,3.4,7.11,56.8,83.62
2020,1,2,13,892.08,854.38,808.17,179.65,0.74,34.88,25.65,15.14,20.4,12.89,52.14,2.99,7.11,59.6,83.55
2020,1,2,14,718.53,692.72,822.51,148.63,0.72,47.07,25.21,14.92,20.07,12.72,52.8,2.01,7.17,62,83.52
2020,1,2,15,493.02,472.17,617.65,136.19,0.68,60.26,24.26,14.83,19.55,12.64,55.55,1.29,7.35,62.9,83.53
2020,1,2,16,239.9,230.18,505.92,78.02,0.59,73.86,22.9,14.88,18.89,12.68,60.52,0.82,7.29,63.7,83.59
2020,1,2,17,27.35,26.38,94.1,18.64,0.34,86.87,20.76,15.41,18.08,13.11,71.35,0.62,6.19,64.8,83.66
2020,1,2,18,0,0,0,0,-999,90,19.16,15.97,17.56,13.57,81.59,0.23,5.98,64.5,83.72
2020,1,2,19,0,0,0,0,-999,90,18.19,16.19,17.19,13.75,87.91,0.09,5.94,63,83.79
2020,1,2,20,0,0,0,0,-999,90,17.45,16.16,16.8,13.72,91.95,0.03,5.74,61.2,83.84
2020,1,2,21,0,0,0,0,-999,90,16.86,16.05,16.45,13.62,94.78,0.01,5.43,59.5,83.85
2020,1,2,22,0,0,0,0,-999,90,16.52,15.91,16.21,13.51,96.06,0,5.11,56.9,83.84
2020,1,2,23,0,0,0,0,-999,90,16.38,15.83,16.11,13.44,96.37,0,4.96,54.7,83.79
2020,1,3,0,0,0,0,0,-999,90,16.36,15.79,16.07,13.42,96.29,0.01,4.75,52.3,83.74
2020,1,3,1,0,0,0,0,-999,90,16.34,15.82,16.08,13.45,96.58,0.01,4.58,51,83.7
2020,1,3,2,0,0,0,0,-999,90,16.24,15.81,16.02,13.44,97.12,0.01,4.39,48.7,83.69
2020,1,3,3,0,0,0,0,-999,90,16.06,15.68,15.87,13.33,97.47,0.01,4.11,45.5,83.71
2020,1,3,4,0,0,0,0,-999,90,15.85,15.51,15.68,13.18,97.72,0,4.09,45.6,83.75
2020,1,3,5,8.3,7.55,25.37,11.63,0.27,88.85,15.82,15.37,15.6,13.05,97.02,0,4.6,49.6,83.81
2020,1,3,6,173.65,155.35,280.07,84.67,0.51,77.51,17.5,15.58,16.54,13.22,88.38,0,6.26,54,83.87
2020,1,3,7,425.1,385.62,497.31,163.8,0.62,63.84,20.13,15.3,17.71,12.98,73.67,0.38,8.52,55,83.91
2020,1,3,8,659.15,605.6,791.62,180.31,0.68,50.5,22.11,15.03,18.57,12.74,64.04,0.69,9.06,54.9,83.91
2020,1,3,9,846.17,802.03,694.95,249.24,0.72,37.93,23.61,15.04,19.32,12.76,58.55,0.72,9.02,55.9,83.89
2020,1,3,10,968.33,894.28,820.94,308.14,0.72,27.34,24.6,15.12,19.86,12.82,55.41,1.32,8.81,57.8,83.85
2020,1,3,11,1014.88,872.5,589.34,370.37,0.67,21.86,25.23,15.16,20.19,12.88,53.57,2.1,8.41,59.8,83.79
2020,1,3,12,982.97,846.67,531.4,421.42,0.66,25.12,25.95,15.11,20.53,12.84,51.12,2.44,8.01,60.9,83.7
2020,1,3,13,875.42,779.88,792.22,322.86,0.67,34.74,25.96,14.81,20.39,12.61,50.14,2.09,7.73,62.2,83.63
2020,1,3,14,701.42,584.03,431.06,327.74,0.61,46.94,24.83,14.43,19.63,12.31,52.34,1.46,7.63,63.6,83.6
2020,1,3,15,477.42,408.23,481.11,197.21,0.58,60.14,23.23,14.41,18.82,12.28,57.49,1.21,7.39,63.7,83.63
2020,1,3,16,228.2,193.82,278.09,120.85,0.49,73.74,21.71,14.79,18.25,12.58,64.63,0.87,6.74,64,83.68
2020,1,3,17,25.67,22.38,48.74,21.28,0.28,86.8,20.01,15.64,17.83,13.29,75.84,0.89,5.49,66.9,83.76
2020,1,3,18,0,0,0,0,-999,90,18.82,16.32,17.57,13.87,85.27,0.72,5.31,70.2,83.83
2020,1,3,19,0,0,0,0,-999,90,18.07,16.57,17.32,14.07,90.73,0.41,5.29,70.2,83.9
2020,1,3,20,0,0,0,0,-999,90,17.56,16.54,17.05,14.05,93.6,0.29,5.28,68.6,83.93
2020,1,3,21,0,0,0,0,-999,90,17.27,16.44,16.86,13.95,94.64,0.21,5.23,66.4,83.92
2020,1,3,22,0,0,0,0,-999,90,16.99,16.28,16.64,13.82,95.42,0.15,5.14,64.4,83.89
2020,1,3,23,0,0,0,0,-999,90,16.58,16.02,16.3,13.61,96.4,0.08,4.96,62.8,83.84
2020,1,4,0,0,0,0,0,-999,90,16.25,15.72,15.98,13.35,96.51,0.11,4.72,62,83.78
2020,1,4,1,0,0,0,0,-999,90,16.02,15.49,15.76,13.16,96.49,0.26,4.63,61.5,83.73
2020,1,4,2,0,0,0,0,-999,90,15.83,15.3,15.57,13.01,96.54,0.36,4.5,61.3,83.7
2020,1,4,3,0,0,0,0,-999,90,15.62,15.16,15.39,12.89,96.95,0.35,4.28,61.1,83.7
2020,1,4,4,0,0,0,0,-999,90,15.46,15.07,15.27,12.81,97.37,0.38,4.08,62.1,83.72
2020,1,4,5,7.3,6.18,3.59,8.64,0.23,88.9,15.54,15.09,15.32,12.81,96.95,0.32,4.3,63,83.79
2020,1,4,6,157.45,136.6,152.73,91.09,0.45,77.61,16.74,15.46,16.1,13.12,92.03,0.16,5.36,64,83.85
2020,1,4,7,398.02,345.15,311.32,203.32,0.56,63.93,18.79,15.23,17.01,12.92,79.69,0.01,6.96,64.8,83.89
2020,1,4,8,641.47,579.65,534.68,254.86,0.65,50.57,20.79,14.63,17.71,12.42,67.68,0,7.6,64.8,83.88
2020,1,4,9,836.03,742.42,718.39,190.48,0.67,37.98,22.43,14.31,18.37,12.17,59.97,0,7.84,66.1,83.85
2020,1,4,10,961.42,913.3,638.89,305.16,0.73,27.33,23.87,14.23,19.05,12.12,54.72,0,7.97,68.5,83.81
2020,1,4,11,1019.88,992.22,742.65,224.96,0.76,21.77,24.57,14.3,19.43,12.17,52.65,0,7.9,70.3,83.76
2020,1,4,12,989.35,846.33,774.14,160.74,0.66,24.98,24.9,14.29,19.6,12.18,51.62,0,7.79,71.8,83.68
2020,1,4,13,883.72,779.47,572,272.06,0.67,34.6,24.88,14.33,19.61,12.21,51.77,0,7.71,73.5,83.62
2020,1,4,14,710.62,554.58,334.86,269.73,0.58,46.81,24.28,14.16,19.22,12.09,53.12,0,7.71,74.8,83.6
2020,1,4,15,483.25,352.1,242.46,194.97,0.5,60.01,22.94,14.08,18.51,12.02,57.27,0,7.55,75.2,83.62
2020,1,4,16,232.12,163.15,101.49,120.6,0.41,73.63,21.37,14.25,17.81,12.15,63.73,0.01,7.04,74.4,83.66
2020,1,4,17,26.83,21.33,14.04,25.48,0.27,86.73,19.75,14.81,17.28,12.6,73.07,0.01,5.65,72.7,83.72
2020,1,4,18,0,0,0,0,-999,90,18.77,15.33,17.05,13.02,80.29,0.01,4.98,71.6,83.78
2020,1,4,19,0,0,0,0,-999,90,18.03,15.63,16.83,13.26,85.7,0.01,4.55,69.7,83.83
2020,1,4,20,0,0,0,0,-999,90,17.43,15.71,16.57,13.33,89.49,0.02,4.17,67,83.85
2020,1,4,21,0,0,0,0,-999,90,16.78,15.64,16.21,13.27,92.81,0.14,3.62,64.6,83.83
2020,1,4,22,0,0,0,0,-999,90,16.18,15.48,15.83,13.15,95.52,0.47,3.28,63.7,83.79
2020,1,4,23,0,0,0,0,-999,90,15.49,15.35,15.42,13.04,98.94,0.3,2.99,63.2,83.74
