Model,MAE,RMSE,R2
Weighted Irradiance,8.154090429688322e-14,6.797648153985025e-13,1.0
Linear Regression,5.995440707401517e-10,6.502420907113056e-10,1.0
Average Baseline,28585.444928906345,31320.538484540517,0.0
