timestamp,actual,xgboost,prophet_residual_correction,hybrid,xgboost_residual,hybrid_residual
2024-12-01 05:00:00,1330.0,1365.5536,5.995748895359051,1371.5493377625467,-35.5535888671875,-41.54933776254666
2024-12-01 06:00:00,10712.0,11018.184,1.335670315939855,11019.51926406594,-306.18359375,-307.51926406594066
2024-12-01 07:00:00,24970.0,24587.48,-0.893159367323134,24586.587309382678,382.51953125,383.41269061732237
2024-12-01 08:00:00,39820.0,40198.086,-0.6085684537172713,40197.47736904628,-378.0859375,-377.47736904628255
2024-12-01 09:00:00,46373.0,46484.652,-0.2538974880429392,46484.398446261956,-111.65234375,-111.39844626195554
2024-12-01 10:00:00,60835.0,61100.656,-1.4368708257695628,61099.21937917423,-265.65625,-264.219379174232
2024-12-01 11:00:00,75525.0,74807.33,-2.8279126145949793,74804.5002123854,717.671875,720.4997876145935
2024-12-01 12:00:00,73892.0,73688.96,-1.6018786769723614,73687.35905882303,203.0390625,204.64094117697095
2024-12-01 13:00:00,58258.00000000001,57985.94,3.1544379290088362,57989.095844179006,272.0585937500073,268.90415582100104
2024-12-01 14:00:00,37675.0,37786.85,8.830278304052932,37795.681840804056,-111.8515625,-120.68184080405626
2024-12-01 15:00:00,21388.0,21331.746,11.444312857414776,21343.190406607413,56.25390625,44.809593392586976
2024-12-01 16:00:00,8818.0,8620.278,9.57227094709064,8629.85059125959,197.7216796875,188.14940874040985
2024-12-01 17:00:00,512.0,480.20013,6.016280633709826,486.21641491105356,31.79986572265625,25.783585088946438
2024-12-02 05:00:00,1185.0,1221.5938,12.077309940637635,1233.6710599406376,-36.59375,-48.67105994063763
2024-12-02 06:00:00,11880.0,12293.757,7.297856895820686,12301.05469283332,-413.7568359375,-421.0546928333206
2024-12-02 07:00:00,23857.0,23615.043,4.891563829848269,23619.93453257985,241.95703125,237.06546742015053
2024-12-02 08:00:00,36370.0,36566.0,4.941727975588827,36570.94172797559,-196.0,-200.94172797558713
2024-12-02 09:00:00,57122.0,56897.33,5.0068440723952,56902.33496907239,224.671875,219.6650309276083
