timestamp,actual,xgboost,random_forest,gradient_boost,weighted_ensemble
2024-12-01 05:00:00,1330.0,1365.5536,1331.754396825397,1358.9483052534156,1334.5760489011568
2024-12-01 06:00:00,10712.0,11018.184,10693.150400793655,10768.065009515738,10703.156723754768
2024-12-01 07:00:00,24970.0,24587.48,24965.797161976912,24904.52032517684,24956.529627454263
2024-12-01 08:00:00,39820.0,40198.086,39809.91359126985,39804.63293567576,39813.16652893204
2024-12-01 09:00:00,46373.0,46484.652,46379.970801587304,46334.912471406074,46376.84273887923
2024-12-01 10:00:00,60835.0,61100.656,60842.89183333333,60819.700938584625,60843.24505891127
2024-12-01 11:00:00,75525.0,74807.33,75525.06121031742,75525.99096238978,75518.23559155647
2024-12-01 12:00:00,73892.0,73688.96,73872.3172420635,73798.57475981563,73863.78270108988
2024-12-01 13:00:00,58258.00000000001,57985.94,58263.439658730145,58304.566373537775,58264.542796855916
2024-12-01 14:00:00,37675.0,37786.85,37683.56969155844,37684.81989294338,37684.67893937447
2024-12-01 15:00:00,21388.0,21331.746,21385.637623015875,21329.750191616895,21379.988646723792
2024-12-01 16:00:00,8818.0,8620.278,8861.497428571425,8898.680890990343,8862.58793208953
2024-12-01 17:00:00,512.0,480.20013,512.4590436507937,514.263627311707,512.3140743046177
2024-12-02 05:00:00,1185.0,1221.5938,1187.6315494227993,1142.9785328202836,1183.8597437564804
2024-12-02 06:00:00,11880.0,12293.757,11890.403746031747,11846.453343013975,11890.253254471732
2024-12-02 07:00:00,23857.0,23615.043,23890.13925396826,23865.051640327893,23885.187524578534
2024-12-02 08:00:00,36370.0,36566.0,36331.26028607502,36401.99279663191,36340.013297953534
2024-12-02 09:00:00,57122.0,56897.33,57128.82713095236,57122.77281351655,57126.04231311574
2024-12-02 10:00:00,60150.0,59979.89,60162.607880952375,60155.23129559478,60160.171401945845
2024-12-02 11:00:00,69928.0,69680.59,69932.10875396828,69860.37527762214,69923.10233348355
2024-12-02 12:00:00,69592.0,69553.69,69604.77478066378,69608.75845221644,69604.64853974034
2024-12-02 13:00:00,58303.0,57970.664,58309.76442063491,58314.11861001054,58306.89894819916
2024-12-02 14:00:00,39900.0,40003.953,39848.18653174604,39936.29049361816,39857.77369460511
2024-12-02 15:00:00,21518.0,21331.205,21536.75721825397,21527.048252412398,21533.886769331886
2024-12-02 16:00:00,7972.0,8078.094,7964.5084686147175,8118.3698328125865,7979.72553078433
2024-12-02 17:00:00,410.0,413.35156,410.2281507936507,414.17538627884335,410.6205533671018
2024-12-03 05:00:00,1288.0,1240.737,1288.6140753968252,1259.7766740655031,1285.506008958579
2024-12-03 06:00:00,12977.000000000002,12995.562,12978.97276839827,13007.749136576434,12981.773961644258
2024-12-03 07:00:00,30367.0,29791.346,30335.988916666665,30284.512032932093,30326.019409325057
2024-12-03 08:00:00,48790.0,48867.113,48806.6459992785,48804.33682178009,48807.016265502294
2024-12-03 09:00:00,66447.0,66514.9,66464.72036832613,66291.30166820134,66449.28494615792
2024-12-03 10:00:00,81728.0,81847.734,81687.09874999998,81659.41869987999,81686.10466248634
2024-12-03 11:00:00,86283.0,86674.164,86262.88754581528,86225.56423174433,86263.42166671884
2024-12-03 12:00:00,87800.0,87854.59,87776.47098809526,87729.13836913352,87772.87843093365
2024-12-03 13:00:00,72720.0,72505.3,72736.11498809521,72705.43784355212,72731.07652930632
2024-12-03 14:00:00,54090.0,54325.38,54085.54633333334,54071.59931157629,54086.57541598902
2024-12-03 15:00:00,31815.0,31580.059,31828.76567857143,31826.86484923885,31826.196426392085
2024-12-03 16:00:00,12078.0,11862.6045,12089.972922799421,12121.529282179035,12090.68026548063
2024-12-03 17:00:00,657.0,664.0412,656.1717352092352,650.8320216701728,655.7573622745285
2024-12-04 05:00:00,2205.0,2120.9778,2191.039243145743,2196.8430441327414,2190.897376891487
2024-12-04 06:00:00,21423.0,21390.592,21401.189373015877,21332.807412906175,21394.810361615473
2024-12-04 07:00:00,45365.0,45408.6,45375.113274170275,45370.40701753496,45375.003728492375
2024-12-04 08:00:00,67203.0,66929.96,67196.08053174603,67135.07901050721,67187.918601212
2024-12-04 09:00:00,86470.0,86467.94,86571.64016575091,86489.26181885252,86563.07989000593
2024-12-04 10:00:00,97065.0,96587.56,97053.69629617603,97003.48208881951,97044.59865086738
2024-12-04 11:00:00,95950.0,95578.125,96010.29339285714,95754.12205655944,95982.6174235326
2024-12-04 12:00:00,87245.0,87603.445,87289.06219444446,87331.81407425125,87296.01366358915
2024-12-04 13:00:00,71897.0,71962.74,71913.70385714287,71888.91545716776,71911.90064559605
2024-12-04 14:00:00,58035.0,57701.57,58022.51385714286,57957.1923789253,58013.4274927978
2024-12-04 15:00:00,35085.0,34560.105,35070.54328174604,35083.68282066384,35066.83445356657
2024-12-04 16:00:00,13635.0,13352.113,13625.088146825397,13697.54642611016,13629.110850769965
2024-12-04 17:00:00,745.0,762.0294,742.6967896825395,738.698424842457,742.5159202507018
2024-12-05 05:00:00,1888.0,1854.7141,1876.4159999999997,1900.4063844337938,1878.4091787221723
2024-12-05 06:00:00,18825.0,18784.969,18824.10528860029,18803.46644382987,18821.83395123897
2024-12-05 07:00:00,40825.0,40322.742,40837.220273809515,40838.51729392679,40832.3854848865
2024-12-05 08:00:00,62138.0,62376.883,62129.370587662364,62140.31763709918,62132.75871216631
