Model,MAE,RMSE,R2,predictions
Linear Regression,5.995440707401517e-10,6.502420907113056e-10,1.0,"[5.58018804e-10 5.61119979e-10 5.59793410e-10 5.48249049e-10
 5.59313393e-10 5.52274469e-10 5.46831485e-10 2.29585153e+04
 3.66890573e+04 5.40623975e+04 6.49483811e+04 7.94699182e+04
 7.51040978e+04 7.98722534e+04 6.76761853e+04 6.02458850e+04
 4.30656125e+04 1.56023984e+04 4.99574797e+03 5.52850481e-10
 5.52674728e-10 5.51306652e-10 5.64229722e-10 5.52984409e-10
 5.54027571e-10 5.57959351e-10 5.59236429e-10 5.52039075e-10
 5.57381405e-10 5.44993854e-10 5.53696322e-10 1.93257081e+04
 3.55827795e+04 5.58227726e+04 6.54212089e+04 7.16698198e+04
 9.16574305e+04 6.90355984e+04 6.29105962e+04 5.29940133e+04
 5.03907831e+04 2.14331361e+04 4.40680743e+03 5.51229577e-10
 5.56439824e-10 5.53758610e-10 5.56044314e-10 5.58060042e-10
 5.56791178e-10 5.55524378e-10 5.58153199e-10 5.52649266e-10
 5.53293728e-10 5.52914357e-10 5.46703497e-10 9.60424203e+03
 4.06590887e+04 6.42518216e+04 6.40598513e+04 7.07404513e+04
 8.68506945e+04 7.17015298e+04 7.24076346e+04 6.23095664e+04
 4.05466845e+04 2.32577235e+04 5.50996874e-10 5.52216383e-10
 5.53218497e-10 5.57603046e-10 5.58536728e-10 5.57130876e-10
 5.63978710e-10 5.56096707e-10 5.61562904e-10 5.55397621e-10
 5.60992847e-10 5.50534996e-10 6.85013188e+03 2.37567449e+04
 4.63021470e+04 6.12604992e+04 6.89254429e+04 8.01229829e+04
 8.03088544e+04 8.50885152e+04 6.96903084e+04 6.45670635e+04
 4.58606315e+04 1.61194901e+04 5.47272694e-10 5.53237238e-10
 5.54120544e-10 5.49150187e-10 5.54098146e-10 5.57979453e-10
 5.55988067e-10 5.56559522e-10 5.51388955e-10 5.60593293e-10]"
Weighted Irradiance,25326.2303536707,40084.37136071959,-0.6379238189606207,"0     0.0
1     0.0
2     0.0
3     0.0
4     0.0
     ... 
95    0.0
96    0.0
97    0.0
98    0.0
99    0.0
Name: irradiance, Length: 100, dtype: float64"
Average Baseline,28585.444928906345,31320.538484540517,-4.57029315747981e-06,"[25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852
 25463.51648852 25463.51648852 25463.51648852 25463.51648852]"
