timestamp,actual,xgboost,lightgbm,random_forest,gradient_boost,ensemble
2024-12-01 05:00:00,1330.0,1365.5536,1298.9107363574021,1331.754396825397,1358.9483052534156,1561.7621417612997
2024-12-01 06:00:00,10712.0,11018.184,11173.777479057695,10693.150400793653,10768.065009515738,10816.38258121039
2024-12-01 07:00:00,24970.0,24587.48,24604.91678666821,24965.797161976912,24904.52032517684,25100.93798268407
2024-12-01 08:00:00,39820.0,40198.086,39586.72340963237,39809.91359126985,39804.63293567576,39858.49402779027
2024-12-01 09:00:00,46373.0,46484.652,46683.59605965268,46379.97080158731,46334.912471406074,46325.72543941604
2024-12-01 10:00:00,60835.0,61100.656,60900.86265134537,60842.89183333333,60819.700938584625,60760.359121878384
2024-12-01 11:00:00,75525.0,74807.33,74543.76270722515,75525.06121031742,75525.99096238978,75291.42599219736
2024-12-01 12:00:00,73892.0,73688.96,73318.06314717795,73872.3172420635,73798.57475981563,73835.18017328823
2024-12-01 13:00:00,58258.00000000001,57985.94,58177.52620592253,58263.439658730145,58304.566373537775,58210.57672910924
2024-12-01 14:00:00,37675.0,37786.85,37960.10124731015,37683.56969155844,37684.81989294338,37696.327021472614
2024-12-01 15:00:00,21388.0,21331.746,21368.047597066943,21385.637623015875,21329.750191616895,21557.89499942908
2024-12-01 16:00:00,8818.0,8620.278,8651.743592573317,8861.497428571425,8898.680890990343,8852.26346485386
2024-12-01 17:00:00,512.0,480.20013,411.19738230923133,512.4590436507937,514.263627311707,743.7738462485779
2024-12-02 05:00:00,1185.0,1221.5938,1210.5757997119779,1187.6315494227993,1142.9785328202836,1333.983173111591
2024-12-02 06:00:00,11880.0,12293.757,12782.16460383255,11890.403746031747,11846.453343013975,12030.225409955754
2024-12-02 07:00:00,23857.0,23615.043,23623.302968961227,23890.13925396826,23865.051640327893,24044.897701350597
2024-12-02 08:00:00,36370.0,36566.0,35708.848240738305,36331.26028607503,36401.99279663191,36379.56562230663
2024-12-02 09:00:00,57122.0,56897.33,56752.423581111216,57128.82713095236,57122.77281351655,57062.422823592664
2024-12-02 10:00:00,60150.0,59979.89,59520.137313292245,60162.607880952375,60155.23129559478,60223.89690457848
2024-12-02 11:00:00,69928.0,69680.59,69787.49440052592,69932.10875396828,69860.37527762214,69749.53193458435
2024-12-02 12:00:00,69592.0,69553.69,69707.69991432222,69604.77478066378,69608.75845221644,69437.42499163166
2024-12-02 13:00:00,58303.0,57970.664,57980.5173645714,58309.76442063492,58314.11861001054,58232.09456972313
2024-12-02 14:00:00,39900.0,40003.953,40052.46204610271,39848.18653174604,39936.29049361816,39858.49402779027
2024-12-02 15:00:00,21518.0,21331.205,20889.09935568697,21536.75721825397,21527.048252412398,21669.853224019615
2024-12-02 16:00:00,7972.0,8078.094,7948.538730991977,7964.508468614719,8118.3698328125865,8221.457948637677
2024-12-02 17:00:00,410.0,413.35156,397.9071468779972,410.2281507936507,414.17538627884335,648.4657212990182
2024-12-03 05:00:00,1288.0,1240.737,1152.0775481010655,1288.6140753968252,1259.7766740655031,1454.4257200444486
2024-12-03 06:00:00,12977.000000000002,12995.562,12730.444403531068,12978.972768398271,13007.749136576434,13056.127389571157
2024-12-03 07:00:00,30367.0,29791.346,29439.59703431216,30335.988916666665,30284.512032932093,30386.09770336857
2024-12-03 08:00:00,48790.0,48867.113,48696.809634654914,48806.6459992785,48804.33682178009,48535.647355809546
