Model,MAE,RMSE,R2,sMAPE,Time_s
XGBoost,92.24790414413357,169.58558337823536,0.9999706828732929,103.76512079243085,0.18423771858215332
Hybrid,1055.3733868392446,1655.9076181060582,0.9972047815588592,105.82791385300514,0.19656085968017578
Prophet,2678.212253294976,3739.177567777237,0.985747346605688,108.17316091233953,12.858588457107544
