timestamp,actual,prophet_predicted,hybrid_predicted,residuals
2024-12-01 05:00:00,1330.0,354.56319707181683,-848.1317492172457,2178.1317492172457
2024-12-01 06:00:00,10712.0,10321.178744945944,9014.509799633444,1697.4902003665557
2024-12-01 07:00:00,24970.0,27838.673745922984,25584.961831860484,-614.9618318604844
2024-12-01 08:00:00,39820.0,46865.29290122651,40650.76555747651,-830.7655574765085
2024-12-01 09:00:00,46373.0,63541.34303964993,48467.10085214993,-2094.1008521499316
2024-12-01 10:00:00,60835.0,75234.50621588968,63430.421254952176,-2595.4212549521762
2024-12-01 11:00:00,75525.0,79950.79310834287,75553.25795209287,-28.257952092870255
2024-12-01 12:00:00,73892.0,76741.56640840082,73259.38647676019,632.6135232398083
2024-12-01 13:00:00,58258.00000000001,66189.47759728193,54063.95318321943,4194.046816780574
2024-12-01 14:00:00,37675.0,50133.8839932032,36194.5695400782,1480.4304599218012
2024-12-01 15:00:00,21388.0,31098.846079398176,22445.746470023176,-1057.7464700231758
2024-12-01 16:00:00,8818.0,12514.567453334144,7661.653879115394,1156.3461208846056
2024-12-01 17:00:00,512.0,-297.3955876223263,-381.5426594607052,893.5426594607052
2024-12-02 05:00:00,1185.0,1678.8554380419591,183.29232769039663,1001.7076723096034
2024-12-02 06:00:00,11880.0,11754.2132922116,13637.562291235037,-1757.5622912350373
2024-12-02 07:00:00,23857.0,29376.014728964317,22943.032795370567,913.9672046294327
2024-12-02 08:00:00,36370.0,48501.758790739215,41077.026368864215,-4707.026368864215
2024-12-02 09:00:00,57122.0,65271.02743917731,59222.92343527106,-2100.9234352710628
2024-12-02 10:00:00,60150.0,77050.8051341698,62065.1713451073,-1915.171345107301
2024-12-02 11:00:00,69928.0,81846.43855934746,73996.25496559746,-4068.254965597458
2024-12-02 12:00:00,69592.0,78708.66614312188,71956.66858452813,-2364.6685845281318
2024-12-02 13:00:00,58303.0,68219.56070287517,54951.80972631267,3351.190273687331
2024-12-02 14:00:00,39900.0,52217.952020622644,38819.975458122644,1080.0245418773557
2024-12-02 15:00:00,21518.0,33227.42932229969,22883.114869174693,-1365.114869174693
2024-12-02 16:00:00,7972.0,14677.785922859119,8549.218051765369,-577.2180517653687
2024-12-02 17:00:00,410.0,1890.2330144565858,360.8675359409608,49.132464059039194
2024-12-03 05:00:00,1288.0,3336.13293344008,3053.5505664967204,-1765.5505664967204
2024-12-03 06:00:00,12977.000000000002,13305.101194328876,16015.02868456325,-3038.028684563249
2024-12-03 07:00:00,30367.0,30813.174981271855,31200.284478342168,-833.2844783421679
2024-12-03 08:00:00,48790.0,49818.55989449583,51378.045368128645,-2588.0453681286454
2024-12-03 09:00:00,66447.0,66461.59000424255,71043.6940081488,-4596.694008148799
2024-12-03 10:00:00,81728.0,78110.04122938066,82228.86691297441,-500.8669129744085
2024-12-03 11:00:00,86283.0,82770.08453383509,88705.78228774134,-2422.782287741342
2024-12-03 12:00:00,87800.0,79493.30863305395,87646.99320336645,153.00679663354822
