timestamp,actual,sarimax_predicted
2024-12-01 00:00:00,0.0,1746.9445352200673
2024-12-01 01:00:00,0.0,4113.535255812349
2024-12-01 02:00:00,0.0,6244.033811619458
2024-12-01 03:00:00,0.0,8161.992864192864
2024-12-01 04:00:00,0.0,9888.61545087408
2024-12-01 05:00:00,0.0,11442.989384372662
2024-12-01 06:00:00,0.0,12842.298268535851
2024-12-01 07:00:00,22958.51526459732,14102.01146308925
2024-12-01 08:00:00,36689.05726161669,15236.055097408707
2024-12-01 09:00:00,54062.39745770654,16256.966023880685
2024-12-01 10:00:00,64948.38113608651,17176.030412805485
2024-12-01 11:00:00,79469.91822528708,18003.408521010013
2024-12-01 12:00:00,75104.097818612,18748.247013487075
2024-12-01 13:00:00,79872.25344446841,19418.78007977696
2024-12-01 14:00:00,67676.1853075367,20022.420462932852
2024-12-01 15:00:00,60245.88504133224,20565.841407395368
2024-12-01 16:00:00,43065.61249614592,21055.050431709882
2024-12-01 17:00:00,15602.398405682578,21495.45574164409
2024-12-01 18:00:00,4995.74797308594,21891.926017902842
2024-12-01 19:00:00,0.0,22248.844239393344
2024-12-01 20:00:00,0.0,22570.156137057016
2024-12-01 21:00:00,0.0,22859.413813925104
2024-12-01 22:00:00,0.0,23119.815013617696
2024-12-01 23:00:00,0.0,23354.238471399472
2024-12-02 00:00:00,0.0,23565.27573859808
2024-12-02 01:00:00,0.0,23755.259832204087
2024-12-02 02:00:00,0.0,23926.291026373827
2024-12-02 03:00:00,0.0,24080.260070960212
2024-12-02 04:00:00,0.0,24218.86909375237
2024-12-02 05:00:00,0.0,24343.650417498382
2024-12-02 06:00:00,0.0,24455.983499733255
2024-12-02 07:00:00,19325.708125926656,24557.11018268199
2024-12-02 08:00:00,35582.77947119075,24648.148421825397
2024-12-02 09:00:00,55822.77255008759,24730.10464489793
2024-12-02 10:00:00,65421.20886843184,24803.88487794631
2024-12-02 11:00:00,71669.81976406735,24870.30476144748
2024-12-02 12:00:00,91657.43046278418,24930.098567214078
2024-12-02 13:00:00,69035.5984292775,24983.927315769324
2024-12-02 14:00:00,62910.59618750048,25032.38608392893
2024-12-02 15:00:00,52994.0132596759,25076.010583375286
2024-12-02 16:00:00,50390.78308555014,25115.28308295012
2024-12-02 17:00:00,21433.13606925349,25150.63774013655
2024-12-02 18:00:00,4406.807433030622,25182.46540067005
2024-12-02 19:00:00,0.0,25211.117919338074
2024-12-02 20:00:00,0.0,25236.912049734725
2024-12-02 21:00:00,0.0,25260.13294597174
2024-12-02 22:00:00,0.0,25281.037315057216
2024-12-02 23:00:00,0.0,25299.856254791546
2024-12-03 00:00:00,0.0,25316.797808553652
2024-12-03 01:00:00,0.0,25332.04926522051
2024-12-03 02:00:00,0.0,25345.779229645686
2024-12-03 03:00:00,0.0,25358.13948658602
2024-12-03 04:00:00,0.0,25369.26667868208
2024-12-03 05:00:00,0.0,25379.28381704258
2024-12-03 06:00:00,0.0,25388.30164113217
2024-12-03 07:00:00,9604.242034003588,25396.419842996238
2024-12-03 08:00:00,40659.08866298359,25403.728169356455
2024-12-03 09:00:00,64251.82163862369,25410.307413760787
2024-12-03 10:00:00,64059.85131871619,25416.230309756185
2024-12-03 11:00:00,70740.45125706567,25421.56233495792
2024-12-03 12:00:00,86850.6945240228,25426.362434904637
2024-12-03 13:00:00,71701.52976265512,25430.68367470129
2024-12-03 14:00:00,72407.63458445472,25434.573825653864
2024-12-03 15:00:00,62309.56641820626,25438.075893381174
2024-12-03 16:00:00,40546.68451798672,25441.228593241965
2024-12-03 17:00:00,23257.72349820665,25444.066778333232
2024-12-03 18:00:00,0.0,25446.62182479118
2024-12-03 19:00:00,0.0,25448.921978654416
2024-12-03 20:00:00,0.0,25450.992668123923
2024-12-03 21:00:00,0.0,25452.8567846718
2024-12-03 22:00:00,0.0,25454.534936106502
2024-12-03 23:00:00,0.0,25456.045674392146
2024-12-04 00:00:00,0.0,25457.4057007405
2024-12-04 01:00:00,0.0,25458.63005024285
2024-12-04 02:00:00,0.0,25459.732258082957
2024-12-04 03:00:00,0.0,25460.7245091685
2024-12-04 04:00:00,0.0,25461.61777283524
2024-12-04 05:00:00,0.0,25462.42192411302
2024-12-04 06:00:00,6850.131881881137,25463.14585289422
2024-12-04 07:00:00,23756.744897149256,25463.797562211523
2024-12-04 08:00:00,46302.14699611629,25464.38425671144
2024-12-04 09:00:00,61260.499165221736,25464.912422301666
2024-12-04 10:00:00,68925.44285018099,25465.387897852812
2024-12-04 11:00:00,80122.98285579748,25465.815939747095
2024-12-04 12:00:00,80308.85435688273,25466.20127998766
2024-12-04 13:00:00,85088.51520151633,25466.548178510875
2024-12-04 14:00:00,69690.30842661897,25466.86047027991
2024-12-04 15:00:00,64567.06350016432,25467.141607680278
2024-12-04 16:00:00,45860.631547946905,25467.394698685937
2024-12-04 17:00:00,16119.490126526554,25467.622541217966
2024-12-04 18:00:00,0.0,25467.82765407555
2024-12-04 19:00:00,0.0,25468.012304781336
2024-12-04 20:00:00,0.0,25468.178534648872
2024-12-04 21:00:00,0.0,25468.328181349356
2024-12-04 22:00:00,0.0,25468.462899227052
2024-12-04 23:00:00,0.0,25468.5841775881
2024-12-05 00:00:00,0.0,25468.693357164793
2024-12-05 01:00:00,0.0,25468.79164493734
2024-12-05 02:00:00,0.0,25468.880127477074
2024-12-05 03:00:00,0.0,25468.95978295847
2024-12-05 04:00:00,0.0,25469.031491972877
2024-12-05 05:00:00,0.0,25469.09604726345
2024-12-05 06:00:00,0.0,25469.15416248892
2024-12-05 07:00:00,17505.025349617124,25469.206480113116
2024-12-05 08:00:00,46335.91065869441,25469.25357850737
2024-12-05 09:00:00,62894.53693468855,25469.295978344424
2024-12-05 10:00:00,71203.19188535055,25469.334148354486
2024-12-05 11:00:00,79071.67141382782,25469.368510507014
2024-12-05 12:00:00,78332.88145858794,25469.399444675604
2024-12-05 13:00:00,73752.59325570444,25469.427292837492
2024-12-05 14:00:00,72476.37667114951,25469.452362854103
2024-12-05 15:00:00,59348.52775278103,25469.474931874476
2024-12-05 16:00:00,30976.98545305388,25469.49524939913
2024-12-05 17:00:00,17024.53818628831,25469.5135400383
2024-12-05 18:00:00,5173.4984804364185,25469.530005995002
2024-12-05 19:00:00,0.0,25469.544829300386
2024-12-05 20:00:00,0.0,25469.558173826095
2024-12-05 21:00:00,0.0,25469.570187095862
2024-12-05 22:00:00,0.0,25469.58100191638
2024-12-05 23:00:00,0.0,25469.590737845494
2024-12-06 00:00:00,0.0,25469.599502513902
2024-12-06 01:00:00,0.0,25469.607392815007
2024-12-06 02:00:00,0.0,25469.614495976093
2024-12-06 03:00:00,0.0,25469.6208905226
2024-12-06 04:00:00,0.0,25469.626647146248
2024-12-06 05:00:00,0.0,25469.63182948651
2024-12-06 06:00:00,0.0,25469.63649483415
2024-12-06 07:00:00,23536.1283429512,25469.640694764592
2024-12-06 08:00:00,46729.35529187818,25469.644475708064
2024-12-06 09:00:00,59428.93059994852,25469.647879462904
2024-12-06 10:00:00,72727.98029624583,25469.650943657613
2024-12-06 11:00:00,77839.1696546196,25469.653702166866
2024-12-06 12:00:00,86889.39820909237,25469.656185485983
2024-12-06 13:00:00,70657.77931928272,25469.65842106806
2024-12-06 14:00:00,69953.9695121525,25469.66043362745
2024-12-06 15:00:00,63604.03894072937,25469.662245413005
2024-12-06 16:00:00,37833.2227941468,25469.66387645401
2024-12-06 17:00:00,18039.83726950288,25469.665344781624
2024-12-06 18:00:00,0.0,25469.666666628207
2024-12-06 19:00:00,0.0,25469.667856606775
2024-12-06 20:00:00,0.0,25469.668927872543
2024-12-06 21:00:00,0.0,25469.669892268346
2024-12-06 22:00:00,0.0,25469.670760455592
2024-12-06 23:00:00,0.0,25469.67154203208
2024-12-07 00:00:00,0.0,25469.672245638147
